Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)\n
0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0,3.296,0\n
3.906,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0,3.142,0\n
7.812,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0,2.995,0\n
11.719,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0,2.855,0\n
15.625,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0,2.721,0\n
19.531,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0,2.594,0\n
23.437,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0,2.472,0\n
27.344,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0,2.357,0\n
31.25,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0,2.246,0\n
35.156,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0,2.141,0\n
39.062,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0,2.041,0\n
42.969,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0,1.945,0\n
46.875,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0,1.854,0\n
50.781,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0,1.768,0\n
54.687,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0,1.685,0\n
58.594,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0,1.606,0\n
62.5,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0,1.531,0\n
66.406,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0,1.459,0\n
70.312,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0,1.391,0\n
74.219,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0,1.326,0\n
78.125,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0,1.264,0\n
82.031,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0,1.205,0\n
85.937,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0,1.148,0\n
89.844,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0,1.094,0\n
93.75,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0,1.043,0\n
97.656,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0,0.994,0\n
101.56,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804,0.957,0.804\n
